pensaste,verb,INDF,singular,segunda
pensaras,verb,INDF,singular,segunda
pensarás,verb,INDF,singular,segunda
pensarias,verb,INDF,singular,segunda
pensava,verb,INDF,singular,primeira
pensei,verb,INDF,singular,primeira
pensara,verb,INDF,singular,primeira
pensarei,verb,INDF,singular,primeira
pensaria,verb,INDF,singular,primeira
pensa,verb,INDF,singular,terceira
pensava,verb,INDF,singular,terceira
pensou,verb,INDF,singular,terceira
pensara,verb,INDF,singular,terceira
pensará,verb,INDF,singular,terceira
pensaria,verb,INDF,singular,terceira
pensamos,verb,INDF,plural,primeira
pensais,verb,INDF,plural,segunda
pensáveis,verb,INDF,plural,segunda
pensastes,verb,INDF,plural,segunda
pensáreis,verb,INDF,plural,segunda
pensareis,verb,INDF,plural,segunda
pensaríeis,verb,INDF,plural,segunda
pensávamos,verb,INDF,plural,primeira
pensáramos,verb,INDF,plural,primeira
pensaremos,verb,INDF,plural,primeira
pensaríamos,verb,INDF,plural,primeira
pensam,verb,INDF,plural,terceira
pensavam,verb,INDF,plural,terceira
pensaram,verb,INDF,plural,terceira
pensarão,verb,INDF,plural,terceira
pensariam,verb,INDF,plural,terceira
chamo,verb,INDF,singular,primeira
chamas,verb,INDF,singular,segunda
chamavas,verb,INDF,singular,segunda
chamaste,verb,INDF,singular,segunda
chamaras,verb,INDF,singular,segunda
chamarás,verb,INDF,singular,segunda
chamarias,verb,INDF,singular,segunda
chamava,verb,INDF,singular,primeira
chamei,verb,INDF,singular,primeira
chamara,verb,INDF,singular,primeira
chamarei,verb,INDF,singular,primeira
chamaria,verb,INDF,singular,primeira
chama,verb,INDF,singular,terceira
chamava,verb,INDF,singular,terceira
chamou,verb,INDF,singular,terceira
chamara,verb,INDF,singular,terceira
chamará,verb,INDF,singular,terceira
chamaria,verb,INDF,singular,terceira
chamamos,verb,INDF,plural,primeira
chamais,verb,INDF,plural,segunda
chamáveis,verb,INDF,plural,segunda
chamastes,verb,INDF,plural,segunda
chamáreis,verb,INDF,plural,segunda
chamareis,verb,INDF,plural,segunda
chamaríeis,verb,INDF,plural,segunda
chamávamos,verb,INDF,plural,primeira
chamáramos,verb,INDF,plural,primeira
chamaremos,verb,INDF,plural,primeira
chamaríamos,verb,INDF,plural,primeira
chamam,verb,INDF,plural,terceira
chamavam,verb,INDF,plural,terceira
chamaram,verb,INDF,plural,terceira
chamarão,verb,INDF,plural,terceira
chamariam,verb,INDF,plural,terceira
encontro,verb,INDF,singular,primeira
encontras,verb,INDF,singular,segunda
encontravas,verb,INDF,singular,segunda
encontraste,verb,INDF,singular,segunda
encontraras,verb,INDF,singular,segunda
encontrarás,verb,INDF,singular,segunda
encontrarias,verb,INDF,singular,segunda
encontrava,verb,INDF,singular,primeira
encontrei,verb,INDF,singular,primeira
encontrara,verb,INDF,singular,primeira
encontrarei,verb,INDF,singular,primeira
encontraria,verb,INDF,singular,primeira
encontra,verb,INDF,singular,terceira
encontrava,verb,INDF,singular,terceira
encontrou,verb,INDF,singular,terceira
encontrara,verb,INDF,singular,terceira
encontrará,verb,INDF,singular,terceira
encontraria,verb,INDF,singular,terceira
encontramos,verb,INDF,plural,primeira
encontrais,verb,INDF,plural,segunda
encontráveis,verb,INDF,plural,segunda
encontrastes,verb,INDF,plural,segunda
encontráreis,verb,INDF,plural,segunda
encontrareis,verb,INDF,plural,segunda
encontraríeis,verb,INDF,plural,segunda
encontrávamos,verb,INDF,plural,primeira
encontráramos,verb,INDF,plural,primeira
encontraremos,verb,INDF,plural,primeira
encontraríamos,verb,INDF,plural,primeira
encontram,verb,INDF,plural,terceira
encontravam,verb,INDF,plural,terceira
encontraram,verb,INDF,plural,terceira
encontrarão,verb,INDF,plural,terceira
encontrariam,verb,INDF,plural,terceira
lembro,verb,INDF,singular,primeira
lembras,verb,INDF,singular,segunda
lembravas,verb,INDF,singular,segunda
lembraste,verb,INDF,singular,segunda
lembraras,verb,INDF,singular,segunda
lembrarás,verb,INDF,singular,segunda
lembrarias,verb,INDF,singular,segunda
lembrava,verb,INDF,singular,primeira
lembrei,verb,INDF,singular,primeira
lembrara,verb,INDF,singular,primeira
lembrarei,verb,INDF,singular,primeira
lembraria,verb,INDF,singular,primeira
lembra,verb,INDF,singular,terceira
lembrava,verb,INDF,singular,terceira
lembrou,verb,INDF,singular,terceira
lembrara,verb,INDF,singular,terceira
lembrará,verb,INDF,singular,terceira
lembraria,verb,INDF,singular,terceira
lembramos,verb,INDF,plural,primeira
lembrais,verb,INDF,plural,segunda
lembráveis,verb,INDF,plural,segunda
lembrastes,verb,INDF,plural,segunda
lembráreis,verb,INDF,plural,segunda
lembrareis,verb,INDF,plural,segunda
lembraríeis,verb,INDF,plural,segunda
lembrávamos,verb,INDF,plural,primeira
lembráramos,verb,INDF,plural,primeira
lembraremos,verb,INDF,plural,primeira
lembraríamos,verb,INDF,plural,primeira
lembram,verb,INDF,plural,terceira
lembravam,verb,INDF,plural,terceira
lembraram,verb,INDF,plural,terceira
lembrarão,verb,INDF,plural,terceira
lembrariam,verb,INDF,plural,terceira
começo,verb,INDF,singular,primeira
começas,verb,INDF,singular,segunda
começavas,verb,INDF,singular,segunda
começaste,verb,INDF,singular,segunda
começaras,verb,INDF,singular,segunda
começarás,verb,INDF,singular,segunda
começarias,verb,INDF,singular,segunda
começava,verb,INDF,singular,primeira
começei,verb,INDF,singular,primeira
começara,verb,INDF,singular,primeira
começarei,verb,INDF,singular,primeira
começaria,verb,INDF,singular,primeira
começa,verb,INDF,singular,terceira
começava,verb,INDF,singular,terceira
começou,verb,INDF,singular,terceira
começara,verb,INDF,singular,terceira
começará,verb,INDF,singular,terceira
começaria,verb,INDF,singular,terceira
começamos,verb,INDF,plural,primeira
começais,verb,INDF,plural,segunda
começáveis,verb,INDF,plural,segunda
começastes,verb,INDF,plural,segunda
começáreis,verb,INDF,plural,segunda
começareis,verb,INDF,plural,segunda
começaríeis,verb,INDF,plural,segunda
começávamos,verb,INDF,plural,primeira
começáramos,verb,INDF,plural,primeira
começaremos,verb,INDF,plural,primeira
começaríamos,verb,INDF,plural,primeira
começam,verb,INDF,plural,terceira
começavam,verb,INDF,plural,terceira
começaram,verb,INDF,plural,terceira
começarão,verb,INDF,plural,terceira
começariam,verb,INDF,plural,terceira
compro,verb,INDF,singular,primeira
compras,verb,INDF,singular,segunda
compravas,verb,INDF,singular,segunda
compraste,verb,INDF,singular,segunda
compraras,verb,INDF,singular,segunda
comprarás,verb,INDF,singular,segunda
comprarias,verb,INDF,singular,segunda
comprava,verb,INDF,singular,primeira
comprei,verb,INDF,singular,primeira
comprara,verb,INDF,singular,primeira
comprarei,verb,INDF,singular,primeira
compraria,verb,INDF,singular,primeira
compra,verb,INDF,singular,terceira
comprava,verb,INDF,singular,terceira
comprou,verb,INDF,singular,terceira
comprara,verb,INDF,singular,terceira
comprará,verb,INDF,singular,terceira
compraria,verb,INDF,singular,terceira
compramos,verb,INDF,plural,primeira
comprais,verb,INDF,plural,segunda
compráveis,verb,INDF,plural,segunda
comprastes,verb,INDF,plural,segunda
compráreis,verb,INDF,plural,segunda
comprareis,verb,INDF,plural,segunda
compraríeis,verb,INDF,plural,segunda
comprávamos,verb,INDF,plural,primeira
compráramos,verb,INDF,plural,primeira
compraremos,verb,INDF,plural,primeira
compraríamos,verb,INDF,plural,primeira
compram,verb,INDF,plural,terceira
compravam,verb,INDF,plural,terceira
compraram,verb,INDF,plural,terceira
comprarão,verb,INDF,plural,terceira
comprariam,verb,INDF,plural,terceira
pulo,verb,INDF,singular,primeira
pulas,verb,INDF,singular,segunda
pulavas,verb,INDF,singular,segunda
pulaste,verb,INDF,singular,segunda
pularas,verb,INDF,singular,segunda
pularás,verb,INDF,singular,segunda
pularias,verb,INDF,singular,segunda
pulava,verb,INDF,singular,primeira
pulei,verb,INDF,singular,primeira
pulara,verb,INDF,singular,primeira
pularei,verb,INDF,singular,primeira
pularia,verb,INDF,singular,primeira
pula,verb,INDF,singular,terceira
pulava,verb,INDF,singular,terceira
pulou,verb,INDF,singular,terceira
pulara,verb,INDF,singular,terceira
pulará,verb,INDF,singular,terceira
pularia,verb,INDF,singular,terceira
pulamos,verb,INDF,plural,primeira
pulais,verb,INDF,plural,segunda
puláveis,verb,INDF,plural,segunda
pulastes,verb,INDF,plural,segunda
puláreis,verb,INDF,plural,segunda
pulareis,verb,INDF,plural,segunda
pularíeis,verb,INDF,plural,segunda
pulávamos,verb,INDF,plural,primeira
puláramos,verb,INDF,plural,primeira
pularemos,verb,INDF,plural,primeira
pularíamos,verb,INDF,plural,primeira
pulam,verb,INDF,plural,terceira
pulavam,verb,INDF,plural,terceira
pularam,verb,INDF,plural,terceira
pularão,verb,INDF,plural,terceira
pulariam,verb,INDF,plural,terceira
viajo,verb,INDF,singular,primeira
viajas,verb,INDF,singular,segunda
viajavas,verb,INDF,singular,segunda
viajaste,verb,INDF,singular,segunda
viajaras,verb,INDF,singular,segunda
viajarás,verb,INDF,singular,segunda
viajarias,verb,INDF,singular,segunda
viajava,verb,INDF,singular,primeira
viajei,verb,INDF,singular,primeira
viajara,verb,INDF,singular,primeira
viajarei,verb,INDF,singular,primeira
viajaria,verb,INDF,singular,primeira
viaja,verb,INDF,singular,terceira
viajava,verb,INDF,singular,terceira
viajou,verb,INDF,singular,terceira
viajara,verb,INDF,singular,terceira
viajará,verb,INDF,singular,terceira
viajaria,verb,INDF,singular,terceira
viajamos,verb,INDF,plural,primeira
viajais,verb,INDF,plural,segunda
viajáveis,verb,INDF,plural,segunda
viajastes,verb,INDF,plural,segunda
viajáreis,verb,INDF,plural,segunda
viajareis,verb,INDF,plural,segunda
viajaríeis,verb,INDF,plural,segunda
viajávamos,verb,INDF,plural,primeira
viajáramos,verb,INDF,plural,primeira
viajaremos,verb,INDF,plural,primeira
viajaríamos,verb,INDF,plural,primeira
viajam,verb,INDF,plural,terceira
viajavam,verb,INDF,plural,terceira
viajaram,verb,INDF,plural,terceira
viajarão,verb,INDF,plural,terceira
viajariam,verb,INDF,plural,terceira
voo,verb,INDF,singular,primeira
voas,verb,INDF,singular,segunda
voavas,verb,INDF,singular,segunda
voaste,verb,INDF,singular,segunda
voaras,verb,INDF,singular,segunda
voarás,verb,INDF,singular,segunda
voarias,verb,INDF,singular,segunda
voava,verb,INDF,singular,primeira
voei,verb,INDF,singular,primeira
voara,verb,INDF,singular,primeira
voarei,verb,INDF,singular,primeira
voaria,verb,INDF,singular,primeira
voa,verb,INDF,singular,terceira
voava,verb,INDF,singular,terceira
voou,verb,INDF,singular,terceira
voara,verb,INDF,singular,terceira
voará,verb,INDF,singular,terceira
voaria,verb,INDF,singular,terceira
voamos,verb,INDF,plural,primeira
voais,verb,INDF,plural,segunda
voáveis,verb,INDF,plural,segunda
voastes,verb,INDF,plural,segunda
voáreis,verb,INDF,plural,segunda
voareis,verb,INDF,plural,segunda
voaríeis,verb,INDF,plural,segunda
voávamos,verb,INDF,plural,primeira
voáramos,verb,INDF,plural,primeira
voaremos,verb,INDF,plural,primeira
voaríamos,verb,INDF,plural,primeira
voam,verb,INDF,plural,terceira
voavam,verb,INDF,plural,terceira
voaram,verb,INDF,plural,terceira
voarão,verb,INDF,plural,terceira
voariam,verb,INDF,plural,terceira
passeo,verb,INDF,singular,primeira
passeas,verb,INDF,singular,segunda
passeavas,verb,INDF,singular,segunda
passeaste,verb,INDF,singular,segunda
passearas,verb,INDF,singular,segunda
passearás,verb,INDF,singular,segunda
passearias,verb,INDF,singular,segunda
passeava,verb,INDF,singular,primeira
passeei,verb,INDF,singular,primeira
passeara,verb,INDF,singular,primeira
passearei,verb,INDF,singular,primeira
passearia,verb,INDF,singular,primeira
passea,verb,INDF,singular,terceira
passeava,verb,INDF,singular,terceira
passeou,verb,INDF,singular,terceira
passeara,verb,INDF,singular,terceira
passeará,verb,INDF,singular,terceira
passearia,verb,INDF,singular,terceira
passeamos,verb,INDF,plural,primeira
passeais,verb,INDF,plural,segunda
passeáveis,verb,INDF,plural,segunda
passeastes,verb,INDF,plural,segunda
passeáreis,verb,INDF,plural,segunda
passeareis,verb,INDF,plural,segunda
passearíeis,verb,INDF,plural,segunda
passeávamos,verb,INDF,plural,primeira
passeáramos,verb,INDF,plural,primeira
passearemos,verb,INDF,plural,primeira
passearíamos,verb,INDF,plural,primeira
passeam,verb,INDF,plural,terceira
passeavam,verb,INDF,plural,terceira
passearam,verb,INDF,plural,terceira
passearão,verb,INDF,plural,terceira
passeariam,verb,INDF,plural,terceira
uso,verb,INDF,singular,primeira
usas,verb,INDF,singular,segunda
usavas,verb,INDF,singular,segunda
usaste,verb,INDF,singular,segunda
usaras,verb,INDF,singular,segunda
usarás,verb,INDF,singular,segunda
usarias,verb,INDF,singular,segunda
usava,verb,INDF,singular,primeira
usei,verb,INDF,singular,primeira
usara,verb,INDF,singular,primeira
usarei,verb,INDF,singular,primeira
usaria,verb,INDF,singular,primeira
usa,verb,INDF,singular,terceira
usava,verb,INDF,singular,terceira
usou,verb,INDF,singular,terceira
usara,verb,INDF,singular,terceira
usará,verb,INDF,singular,terceira
usaria,verb,INDF,singular,terceira
usamos,verb,INDF,plural,primeira
usais,verb,INDF,plural,segunda
usáveis,verb,INDF,plural,segunda
usastes,verb,INDF,plural,segunda
usáreis,verb,INDF,plural,segunda
usareis,verb,INDF,plural,segunda
usaríeis,verb,INDF,plural,segunda
usávamos,verb,INDF,plural,primeira
usáramos,verb,INDF,plural,primeira
usaremos,verb,INDF,plural,primeira
usaríamos,verb,INDF,plural,primeira
usam,verb,INDF,plural,terceira
usavam,verb,INDF,plural,terceira
usaram,verb,INDF,plural,terceira
usarão,verb,INDF,plural,terceira
usariam,verb,INDF,plural,terceira
trabalho,verb,INDF,singular,primeira
trabalhas,verb,INDF,singular,segunda
trabalhavas,verb,INDF,singular,segunda
trabalhaste,verb,INDF,singular,segunda
